49174001604	y	COSENTINO THE CHARD 2015	COSENTINO THE CHARD 2015	VINTAGE WINE ESTATES	750 ML	10.5	100560	PINNACLE IMPORTS	CS	12	
49174002908	y	COSENTINO THE CAB 2015	COSENTINO THE CAB 2015	VINTAGE WINE ESTATES	750 ML	12.75	100550	PINNACLE IMPORTS	CS	12	
49174010200	y	TERROIR AL LIMIT LARBOSSAR 2013	TERROIR AL LIMIT LARBOSSAR 2013	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	58.5	126600	PINNACLE IMPORTS	CS	6	
49174010200	y	COSENTINO NOVELIST 2013	COSENTINO NOVELIST 2013 6PK	VINTAGE WINE ESTATES	750 ML	19.5	10061012	PINNACLE IMPORTS	CS	6	
49174010408	y	TEUTON BERGSPITZE PINOT NOIR 15	TEUTONIC BERGSPITZE PINOT NOIR 2015	TEUTONIC WINE CO	750 ML	21.75	126043	PINNACLE IMPORTS	CS	12	
49174010408	y	COSENTINO MERITAGE POET 2012	COSENTINO MERITAGE POET 2012 6PK	VINTAGE WINE ESTATES	750 ML	42	10062011	PINNACLE IMPORTS	CS	6	
49174020100	y	COSENTINO ZIN ZINFANDEL LODI 14	COSENTINO THE ZIN ZINFANDEL LODI 2014	VINTAGE WINE ESTATES	750 ML	12.75	100640	PINNACLE IMPORTS	CS	12	
49174200106	y	ALTO LOS ROMEROS PINOT NOIR 15	ALTO LOS ROMEROS RES PINOT NOIR 2015	DOMAINE SELECT WINE ESTATE	750 ML	11.25	116866	PINNACLE IMPORTS	CS	12	
49174200106	y	COSENTINO THE FRANC CAB FRANC 16	COSENTINO THE FRANC CAB FRANC 2016	VINTAGE WINE ESTATES	750 ML	12.75	100020	PINNACLE IMPORTS	CS	12	
60311090052	y	WILLAKENZIE PIERRE PINOT NOIR 11	WILLAKENZIE PIERRE LEON PINOT NOIR 2011	JACKSON FAMILY ENTERPRISES	750 ML	35.25	10522011	PINNACLE IMPORTS	CS	6	
60311090052	y	WILLAKENZIE PIERRE PINOT NOIR 13	WILLAKENZIE PIERRE LEON PINOT NOIR 2013	WILLAKENZIE	750 ML	37.5	10522012	PINNACLE IMPORTS	CS	6	
62067027123	y	IQHILIKA HONEY SUN HRB BLOSS 	IQHILIKA HONEY SUN AFRICAN HERBAL BLOSSOM MEAD AGED IN RD W	B. UNITED	750 ML	16.75	300420	PINNACLE IMPORTS	CS	6	
62067027130	y	IQHILIKA BIRDS EYE CHILLY MEAD	IQHILIKA BIRDS EYE CHILLY MEAD AGED IN RD WINE BARRELS 750M	B. UNITED	750 ML	16.75	300430	PINNACLE IMPORTS	CS	6	
62067027314	y	RCH PITCHFORK16.9OZ	RCH PITCHFORK 12PK/16.9OZ	B. UNITED	16.9 OZ		117820	PINNACLE IMPORTS	CS	12	
62067027857	y	HARVIESTOUN OLA DUBH 30 YEAR	HARVIESTOUN OLA DUBH 30 YEAR 11.2 OZ	B. UNITED	11.2 OZ		302300	PINNACLE IMPORTS	CS	12	
62067027857	y	HARVIESTOUN BITTER AND TWISTED	HARVIESTOUN BITTER AND TWISTED 12 X 16.9OZ	B. UNITED	16.9 OZ		303200	PINNACLE IMPORTS	CS	12	
62067027970	y	HITACHINO NESTBEER BELGIAN ALE	HITACHINO NESTBEER BELGIAN WHITE ALE 24PK/12*	B. UNITED	11.2 OZ		302120	PINNACLE IMPORTS	CS	24	
62067027994	y	RCH OLD SLUG PORTER16.9OZ	RCH OLD SLUG PORTER 12PK/16.9OZ	B. UNITED	16.9 OZ		302860	PINNACLE IMPORTS	CS	12	
62067028540	y	UERIGE CLASSIC11.2OZ	UERIGE CLASSIC 24PK/11.2OZ	B. UNITED	11.2 OZ		301870	PINNACLE IMPORTS	CS	24	
62067028540	y	UERIGE DOPPLESTICKE11.2OZ	UERIGE DOPPLESTICKE 24PK/11.2OZ *	B. UNITED	11.2 OZ		301880	PINNACLE IMPORTS	CS	24	
62067028540	y	UERIGE STICKE11.2OZ *	UERIGE STICKE 24PK/11.2OZ *	B. UNITED	11.2 OZ		301890	PINNACLE IMPORTS	CS	24	
62067028595	y	E. DUPONT ORG CIDER 750ML	E. DUPONT ORG CIDER 750ML	B. UNITED	750 ML	11.25	300370	PINNACLE IMPORTS	CS	12	
62067028618	y	HITACHINO NESTBR JP CLASSIC ALE	HITACHINO NESTBEER JAPANESE CLASSIC ALE 12 PK/24.3 OZ	B. UNITED	24.3 OZ		303150	PINNACLE IMPORTS	CS	12	
62067028618	y	SCHNEIDER WEISSE KEG 20L	SCHNEIDER WEISSE KEG 20L	B. UNITED	5.16667GA L		305070	PINNACLE IMPORTS	EA	1	
62067028816	y	JW LEES MANCHESTER STAR ENG	J.W. LEES MANCHESTER STAR ENGLISH PORTER 12 / 16.9 OZ	B. UNITED	16.9 OZ		302850	PINNACLE IMPORTS	CS	12	
62067029004	y	GLAZEN SAISON DERPE MERE 25.4OZ	GLAZEN SAISON DERPE MERE 6/25.4OZ	B. UNITED	24.5 OZ		302770	PINNACLE IMPORTS	CS	6	
62067029042	y	HITACHINO NESTBEER GINGER BREW	HITACHINO NESTBEER GINGER BREW 24PK/11.2*	B. UNITED	11.2 OZ		302180	PINNACLE IMPORTS	CS	24	
62067029059	y	HITACHINO NESTBEER GINGER ALE	HITACHINO NESTBEER GINGER ALE 12 PK/24.3 OZ	B. UNITED	24.3 OZ		303160	PINNACLE IMPORTS	CS	12	
62067029585	y	SAMPLE PROF BRIEM BERLINER WEISS	SAMPLE PROF. BRIEM 1809 BERLINER WEISSE / PROFESSOR BRIEM	B. UNITED	16.9 OZ		307120	PINNACLE IMPORTS	EA	1	
62067029684	y	HITACHINO NESTBEER ESPRESS STOUT	HITACHINO NESTBEER ESPRESSO STOUT 24PK/11.2*	B. UNITED	11.2 OZ		302160	PINNACLE IMPORTS	CS	24	
62067029738	y	BAYERISCHR BAHNOF LEIPZIGER GOSE	BAYERISCHER BAHNHOF LEIPZIGER GOSE 24PK/11.2 *	B. UNITED	11.2 OZ		301860	PINNACLE IMPORTS	CS	24	
62067029813	y	HITACHINO NESTBEER EXTRA HIGH	HITACHINO NESTBEER EXTRA HIGH (MATURD IN SAKI CASKS) 24PK/1 / 24/11.2OZ	B. UNITED	11.2 OZ		302170	PINNACLE IMPORTS	CS	24	
62067029981	y	SCHNEIDER MEINE HOPFENWEISSE	SCHNEIDER MEINE HOPFENWEISSE 20L KEG	B. UNITED	20 L		124091	PINNACLE IMPORTS	EA	1	
62067030147	y	BIRRA DEL BORGO GENZIANA375ML	BIRRA DEL BORGO GENZIANA 12PK/375ML *	B. UNITED	12.7 OZ		301960	PINNACLE IMPORTS	CS	12	
62067031281	y	HANSSEN OUDE GUEUZE25.4OZ	HANSSEN OUDE GUEUZE 6PK/25.4OZ	B. UNITED	24.5 OZ		302680	PINNACLE IMPORTS	CS	6	
62067031298	y	HANSSENS OUDBEIJTE12.7*	HANSSENS OUDBEIJTE 12PK/12.7*	B. UNITED	12.7 OZ		301311	PINNACLE IMPORTS	CS	12	
62067031298	y	HANSSENS OUDE GUEUZE12.7OZ	HANSSENS OUDE GUEUZE 12PK/12.7OZ	B. UNITED	12.7 OZ		301310	PINNACLE IMPORTS	CS	12	
62067031465	y	BIRRIFCIO ALMOND 22 TORBATA	BIRRIFCIO ALMOND 22 TORBATA 12PK/12.7*	B. UNITED	12.7 OZ		301930	PINNACLE IMPORTS	CS	12	
62067031496	y	ST HILAIRE BRUT	ST HILAIRE BRUT	JACK POUST & COMPANY INC	750 ML	13.5	111585	PINNACLE IMPORTS	CS	12	
65621820499	y	THOM CRK DEEP WTR DOPPLEBOCK 1/2	THOMAS CREEK DEEP WATER DOPPLEBOCK HALFBBL KEG	THOMAS CREEK BREWERY	1/2 BB L		304350	PINNACLE IMPORTS	EA	1	
65621843226	y	THOMAS CRK CLASS FIVE IPA HALF	THOMAS CREEK CLASS FIVE IPA HALF KEG	THOMAS CREEK BREWERY	1/2 BB L		304290	PINNACLE IMPORTS	EA	1	
68919237067	y	DOMAIN SERENE GRACE PIN NOIR 13	DOMAINE SERENE GRACE PINOT NOIR 2013 6PK	DOMAINE SERENE	750 ML	159	127380	PINNACLE IMPORTS	CS	6	
69859065774	y	FR BROAD 13 REBELS ESB 4 CANS	FRENCH BROAD 13 REBELS ESB 4/6PK CANS	FRENCH BROAD BREWERY	12 OZ		123480	PINNACLE IMPORTS	CS	24	
69917607331	y	BRASSERIE ABBAYE DU VALDIEU 3X	BRASSERIE ABBAYE DU VAL-DIEU TRIPLE 6/4PK 11.2OZ *	D & V INTERNATIONAL	11.2 OZ		301550	PINNACLE IMPORTS	CS	24	
70429400999	y	BAILEYANA FIREPEAK PINOT NOIR 15	BAILEYANA FIREPEAK PINOT NOIR 2015	NIVEN FAMILY WINES	750 ML	22.5	11583012	PINNACLE IMPORTS	CS	12	
71720888376	y	VIGNETI DEL VULTURE DEL CERRO 09	VIGNETI DEL VULTURE PIANO DEL CERRO AGLIANCO 2009 6PK	EMPSON USA INC	750 ML	31.5	116546	PINNACLE IMPORTS	CS	6	
71720888376	y	TALLEY ARROYO GRANDE PIN NOIR 15	TALLEY ARROYO GRANDE PINOT NOIR 2015	TALLEY VINEYARDS	750 ML	26.25	11515013	PINNACLE IMPORTS	CS	12	
72258800196	y	SWANSON NAPA CAB SAUV 2013	SWANSON NAPA CABERNET SAUVIGNON 2013	VINTAGE WINE ESTATES	750 ML	48	103755	PINNACLE IMPORTS	CS	12	
74016224080	y	ALBERT MANN PINOT GRIS ROSEN 14	ALBERT MANN PINOT GRIS ROSENBURG 2014	WEYGANDT-METZLER IMPORTING	750 ML	21.75	112000	PINNACLE IMPORTS	CS	12	
74016224080	y	BR COHN SANGIACOMO CHRDNY 2013	BR COHN SANGIACOMO CHRDNY 2013	VINTAGE WINE ESTATES	750 ML	24	100413	PINNACLE IMPORTS	CS	6	
75042820837	y	BODEGAS DEL ABAD BUENO MENCIA 11	BODEGAS DEL ABAD DOM BUENO MENCIA 2011	FRONTIER IMPORTS	750 ML	14.25	115590	PINNACLE IMPORTS	CS	12	
76166600001	y	CROW CANYON MERLOT 2016	CROW CANYON MERLOT 2016	ASV WINES	750 ML	6	100510	PINNACLE IMPORTS	CS	12	
76166600048	y	CANYON OAKS CAB 1.5L 2015	CANYON OAKS CAB 1.5L 2015	ASV WINES	1.5 L	9.75	100730	PINNACLE IMPORTS	CS	6	
76166600062	y	CANYON OAKS MERLOT 1.5L 2016	CANYON OAKS MERLOT 1.5L 2016	ASV WINES	1.5 L	9.75	100760	PINNACLE IMPORTS	CS	6	
76166600062	y	ALVNN KERSUS BREW W/CHERRIES 14	ALVINNE KERASUS BREWED WITH CHERRIES 2014	B. UNITED	16.9 OZ		304562	PINNACLE IMPORTS	CS	12	
80175724666	y	DE MARTINO ESTATE SAUV BLANC	DE MARTINO ESTATE SAUVIGNON BLANC	BROADBENT SELECTIONS	750 ML	12.75	127320	PINNACLE IMPORTS	CS	12	
80175822942	y	CH. MANISSY TAVEL ROSE 2014	CH. MANISSY TAVEL ROSE 2014	WEYGANDT-METZLER IMPORTING	750 ML	14.25	11129714	PINNACLE IMPORTS	CS	12	
80226987071	y	HEDGES H.I.P. CAB 2015	HEDGES H.I.P. CAB 2015	HEDGES FAMILY ESTATE	750 ML	15	124802	PINNACLE IMPORTS	CS	12	
80226987750	y	HEDGES CMS RD 2014	HEDGES CMS RD 2014	HEDGES FAMILY ESTATE	750 ML	12.75	124780	PINNACLE IMPORTS	CS	12	
80226987767	y	HEDGES CMS WHT 2016	HEDGES CMS WHITE 2016	HEDGES FAMILY ESTATE	750 ML	12.75	124790	PINNACLE IMPORTS	CS	12	
80226987781	y	HEDGES RD MTN. BLEND 2013	HEDGES RD MTN. BLEND 2013	HEDGES FAMILY ESTATE	750 ML	24.75	124810	PINNACLE IMPORTS	CS	12	
80226989761	y	HEDGES DESCENDANTS LGV SYRAH 12	HEDGES DESCENDANTS L.G.V.. SYRAH 2012	HEDGES FAMILY ESTATE	750 ML	24.75	124830	PINNACLE IMPORTS	CS	12	
80539761153	y	BARBOURSVILLE CAB FRANC 2015	BARBOURSVILLE CABERNET FRANC 2015	BROADBENT SELECTIONS	750 ML	21	126000	PINNACLE IMPORTS	CS	12	
80686740018	y	COCKBURNS FINE RUBY PORT	COCKBURNS FINE RUBY PORT	PREMIUM PORT WINES	750 ML	13.5	105480	PINNACLE IMPORTS	CS	12	
80686740100	y	COCKBURNS FINE TAWNY PORT	COCKBURNS FINE TAWNY PORT	PREMIUM PORT WINES	750 ML	13.5	105500	PINNACLE IMPORTS	CS	12	
80686740117	y	COCKBURNS 10 YEAR OLD TAWNY PORT	COCKBURNS 10 YEAR OLD TAWNY PORT	PREMIUM PORT WINES	500 ML	19.5	105510	PINNACLE IMPORTS	CS	12	
81753333652	y	GONET ROSE CHAMPAGNE	GONET ROSE CHAMPAGNE	DOMAINE SELECT WINE ESTATE	750 ML	58	125931	PINNACLE IMPORTS	CS	12	
82153131572	y	HANSSEN OUDE KRIEK25.4OZ	HANSSEN OUDE KRIEK 6PK/25.4OZ	B. UNITED	24.5 OZ		302681	PINNACLE IMPORTS	CS	6	
82491067014	y	DRY CRK CAB SAUV 375ML 2013	DRY CREEK CAB SAUV 375ML 2013	DRY CREEK VINEYARD	375 ML	10.5	101030	PINNACLE IMPORTS	CS	12	
82491070021	y	DRY CRK VNYRDS MERITAGE 2013	DRY CREEK VNYRDS MERITAGE 2013	DRY CREEK VINEYARD	750 ML	21.75	10114010	PINNACLE IMPORTS	CS	12	
82491077020	y	FORMAN CHRDNY 2014	FORMAN CHRDNY 2014	FORMAN VINEYARDS	750 ML	38	125881	PINNACLE IMPORTS	CS	12	
82491077020	y	LANCELOT ROYER BLANC DE BLANC 09	LANCELOT-ROYER BLANC DE BLANC CG MILLESIME 2009	NORTH BERKELEY IMPORTS	750 ML	65	125330	PINNACLE IMPORTS	CS	12	
82491077020	y	DRY CRK VNYRDS CAB SAUV 2015	DRY CREEK VNYRDS CAB SAUVIGNON 2015	DRY CREEK VINEYARD	750 ML	21	121910	PINNACLE IMPORTS	CS	12	
82491078027	y	ARRELS CLOS OBLIDAT GRENACHE 11	ARRELS CLOS OBLIDAT GRENACHE MONTSANT 2011	MIURA VINEYARDS	750 ML	17.25	110660	PINNACLE IMPORTS	CS	12	
82491078027	y	DRY CRK VNYRDS MERLOT 2014	DRY CREEK VNYRDS MERLOT 2014	DRY CREEK VINEYARD	750 ML	20.25	101150	PINNACLE IMPORTS	CS	12	
82491082021	y	DRY CRK SAUV BLANC 2017	DRY CREEK SAUV BLANC 2017	DRY CREEK VINEYARD	750 ML	15	101160	PINNACLE IMPORTS	CS	12	
82491082024	y	DRY CRK VNYRDS FUME BLANC 2016	DRY CREEK VNYRDS FUME BLANC 2016	DRY CREEK VINEYARD	750 ML	12.75	101090	PINNACLE IMPORTS	CS	12	
82491083014	y	DRY CRK CHRDNY 2010 375ML	DRY CREEK CHRDNY 2010 375ML	DRY CREEK VINEYARD	375 ML	9	101050	PINNACLE IMPORTS	CS	12	
82491091026	y	DRY CRK CHENIN BLANC 2016	DRY CREEK CHENIN BLANC 2016	DRY CREEK VINEYARD	750 ML	12.75	101080	PINNACLE IMPORTS	CS	12	
82491176020	y	DRY CRK VNYRDS HERTGE ZINF 16	DRY CREEK VNYRDS HERITAGE ZINFANDEL 2016	DRY CREEK VINEYARD	750 ML	18.75	12192012	PINNACLE IMPORTS	CS	12	
82544003051	y	ORW SILK OAK CHRDNY 2013	ORW SILK OAK CHRDNY 2013	OAK RIDGE WINERY	750 ML	12.75	103460	PINNACLE IMPORTS	CS	12	
82544003051	y	BONGIOVANNI ARNEIS LANGHE DOC 12	BONGIOVANNI ARNEIS LANGHE DOC 2012	EMPSON USA INC	750 ML	15.75	10664012	PINNACLE IMPORTS	CS	12	
82544006502	y	THMAS CRK TRIFECTA IPA 5.2 GAL	THOMAS CREEK TRIFECTA IPA 5.2 GAL KEG	THOMAS CREEK BREWERY	5.16667GA L		304312	PINNACLE IMPORTS	EA	1	
82544006502	y	MOSS ROXX ZIN 2014	MOSS ROXX ZIN 2014	OAK RIDGE WINERY	750 ML	16.5	10242011	PINNACLE IMPORTS	CS	6	
82544006502	y	BIALE VNYRDS RW MOORE ZINF 14	BIALE VNYRDS RW MOORE ZINFANDEL 2014	ROBERT BIALE VINEYARDS	750 ML	42	100205	PINNACLE IMPORTS	CS	12	
82544007257	y	ORW MAGGIO PETITE SIRAH 2015	ORW MAGGIO PETITE SIRAH 2015	OAK RIDGE WINERY	750 ML	9	102310	PINNACLE IMPORTS	CS	12	
82544007264	y	BIALE BLK CHICKEN 2015	BIALE BLK CHICKEN 2015	ROBERT BIALE VINEYARDS	750 ML	35.25	121350	PINNACLE IMPORTS	CS	12	
82544007264	y	ORW MAGGIO MERLOT 2014	ORW MAGGIO MERLOT 2014	OAK RIDGE WINERY	750 ML	9	102280	PINNACLE IMPORTS	CS	12	
82544007264	y	ORW MAGGIO SAUV BLANC 2015	ORW MAGGIO SAUV BLANC 2015	OAK RIDGE WINERY	750 ML	9	102290	PINNACLE IMPORTS	CS	12	
82544007424	y	ORW LODI ESTATES CAB 2015	ORW LODI ESTATES CAB 2015	OAK RIDGE WINERY	750 ML	15.75	125720	PINNACLE IMPORTS	CS	6	
82544008018	y	ORW THREE GIRLS CAB SAUV 2016	ORW THREE GIRLS CABERNET SAUVIGNON 2016	OAK RIDGE WINERY	750 ML	12.75	120460	PINNACLE IMPORTS	CS	12	
82544008032	y	ORW THREE GIRLS CHRDNY 2011	ORW THREE GIRLS CHRDNY 2011	OAK RIDGE WINERY	750 ML	12.75	103940	PINNACLE IMPORTS	CS	12	
82544008056	y	BOUCHARD POMMARD 1ER CRU 2014	BOUCHARD POMMARD 1ER CRU 2014	HENRIOT INC.	750 ML	65	112535	PINNACLE IMPORTS	CS	12	
82544008056	y	TIKVES BAROVO 2011	TIKVES BAROVO 2011	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	16.5	120753	PINNACLE IMPORTS	CS	12	
82544008056	y	ORW THREE GIRLS PINOT NOIR 2016	ORW THREE GIRLS PINOT NOIR 2016	OAK RIDGE WINERY	750 ML	12.75	10396013	PINNACLE IMPORTS	CS	12	
82544990030	y	ORW OLD SOUL ZIN 2016	ORW OLD SOUL ZIN 2016	OAK RIDGE WINERY	750 ML	11.25	103975	PINNACLE IMPORTS	CS	12	
82544990191	y	ORW SILK OAK CAB SAUV 2011	ORW SILK OAK CABERNET SAUVIGNON 2011	OAK RIDGE WINERY	750 ML	12	120450	PINNACLE IMPORTS	CS	12	
82544990474	y	ORW OLD SOUL PINOT NOIR 2016	ORW OLD SOUL PINOT NOIR 2016	OAK RIDGE WINERY	750 ML	11.25	103976	PINNACLE IMPORTS	CS	12	
82544990719	y	ORW OLD SOUL CHRDNY 2016	ORW OLD SOUL CHRDNY 2016	OAK RIDGE WINERY	750 ML	11.25	103977	PINNACLE IMPORTS	CS	12	
82544991266	y	OZV RD BLEND 2016	OZV RD BLEND 2016	OAK RIDGE WINERY	750 ML	12.75	102871	PINNACLE IMPORTS	CS	12	
82544991280	y	OZV ROSE CPWM PRGM	OZV ROSE CPWM PRGM	OAK RIDGE WINERY	750 ML	12.75	102872	PINNACLE IMPORTS	CS	12	
82745110015	y	E. DUPONT CIDER ORG 375ML	E. DUPONT CIDER ORG 375ML	B. UNITED	375 ML	9	300350	PINNACLE IMPORTS	CS	24	
82745110015	y	VLCKNBRG MADNNA LIEBFRAUMILCH 16	VALCKENBERG MADONNA LIEBFRAUMILCH 2016	VALCKENBERG INTERNATIONAL	750 ML	10.5	114890	PINNACLE IMPORTS	CS	12	
82745110022	y	VLCKNBRG MADNNA KABINETT 2015	VALCKENBERG MADONNA KABINETT 2015	VALCKENBERG INTERNATIONAL	750 ML	11.25	114950	PINNACLE IMPORTS	CS	12	
82745110039	y	VLCKNBRG MADNNA SPATLESE 2015	VALCKENBERG MADONNA SPATLESE 2015	VALCKENBERG INTERNATIONAL	750 ML	11.25	114960	PINNACLE IMPORTS	CS	12	
82745110183	y	VALCKENBERG RIESLING 2016	VALCKENBERG RIESLING 2016	VALCKENBERG INTERNATIONAL	750 ML	11.25	114920	PINNACLE IMPORTS	CS	12	
82745110190	y	VALCKENBERG DORNFELDER 2016	VALCKENBERG DORNFELDER 2016	VALCKENBERG INTERNATIONAL	750 ML	11.25	114860	PINNACLE IMPORTS	CS	12	
82745110756	y	VALCKENBERG GEWURZTRAMINER 2016	VALCKENBERG GEWURZTRAMINER 2016	VALCKENBERG INTERNATIONAL	750 ML	11.25	114880	PINNACLE IMPORTS	CS	12	
82745210531	y	GRAFF GRCHR HIMM RSLING SPAT 16	GRAFF GRAACHER HIMM RIESLING SPAT 2016	VALCKENBERG INTERNATIONAL	750 ML	15	114680	PINNACLE IMPORTS	CS	12	
82745410016	y	LIEBFRAUENSTIFT DRY RIESLING 15	LIEBFRAUENSTIFT DRY RIESLING 2015	VALCKENBERG INTERNATIONAL	750 ML	13.5	124510	PINNACLE IMPORTS	CS	12	
82745410023	y	MINER NAPA MERLOT 2012	MINER NAPA MERLOT 2012	MINER FAMILY VINEYARDS	750 ML	36.75	102381	PINNACLE IMPORTS	CS	12	
82745410023	y	LIEBFRAUENSTIFT RIESLING 2012	LIEBFRAUENSTIFT RIESLING 2012	VALCKENBERG INTERNATIONAL	750 ML	13.5	124511	PINNACLE IMPORTS	CS	12	
82745515025	y	HERETIC WORRY GOLD ALE CHRD	HERETIC WORRY GOLDEN ALE AGED IN CHARD KEG	HERETIC BREWING CO.	5.16667GA L		126635	PINNACLE IMPORTS	EA	1	
82745515629	y	ERIE BREWING COMP MAD ANTHNY 	ERIE BREWING ERIE BREWING COMPANY MAD ANTHONY 5.2 KEG	ERIE BREWING COMPANY	5.16667GA L		303710	PINNACLE IMPORTS	EA	1	
82745516305	y	ESPELT OLD VNE GRNCHA BLANCA 16	ESPELT OLD VINE GARNACHA BLANCA 2016 DI	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	10.5	110601	PINNACLE IMPORTS	CS	12	
82745516305	y	JOHANNISBERGER V RIESL KABNT 10	JOHANNISHOF JOHANNISBERGER V RIESLING KABINETT 2010	VALCKENBERG INTERNATIONAL	750 ML	18	114850	PINNACLE IMPORTS	CS	12	
82745516800	y	PRNZ WALLHAUSEN 2 PRNCS RIES 15	PRINZ SALM WALLHAUSEN 2 PRINCES RIESLING 2015	VALCKENBERG INTERNATIONAL	750 ML	15	114770	PINNACLE IMPORTS	CS	12	
83560300540	y	BRIDE OF THE FOX SAKE 300ML	BRIDE OF THE FOX SAKE 300ML	VINE CONNECTIONS	300 ML	13.5	107720	PINNACLE IMPORTS	CS	12	
84654100026	y	KIONA RIESLING 2016	KIONA RIESLING 2016	KIONA VINEYARDS	750 ML	9	105320	PINNACLE IMPORTS	CS	12	
84654500017	y	RAFOLS DELS CAUS TRRAPRMA WHT 13	CAN RAFOLS DELS CAUS TERRAPRIMA WHITE 2013	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	13.5	124670	PINNACLE IMPORTS	CS	12	
84799080046	y	COSSART GORDON 5YR. BUAL MADEIRA	COSSART GORDON 5YR. BUAL MADEIRA	PREMIUM PORT WINES	750 ML	19.5	105820	PINNACLE IMPORTS	CS	12	
85579004081	y	CDR CRK DANKOSAURUS IPA CANS	CEDAR CREEK DANKOSAURUS IPA CANS	CEDAR CREEK BREWERY	12 OZ		126450	PINNACLE IMPORTS	CS	24	
85579004081	y	CDAR CRK DANKOSAURUS IPA CANS	CEDAR CREEK NEW DANKOSAURUS IPA CANS	CEDAR CREEK BREWERY	12 OZ		1457	PINNACLE IMPORTS	CS	24	
85597900410	y	CDR CRK PATIOPOUNDER PALE LAGER	CEDAR CREEK PATIOPOUNDER PALE LAGER CANS	CEDAR CREEK BREWERY	12 OZ		127010	PINNACLE IMPORTS	CS	24	
85603600100	y	LE CAMPUGET BLANC 2015	LE CAMPUGET BLANC 2015	DREYFUS - ASHBY	750 ML	8.25	111391	PINNACLE IMPORTS	CS	12	
85603600100	y	LE CAMPUGET ROSE 2015	LE CAMPUGET ROSE 2015	DREYFUS - ASHBY	750 ML	8.25	111393	PINNACLE IMPORTS	CS	12	
85603600100	y	LE CAMPUGET ROUGE	LE CAMPUGET ROUGE	DREYFUS - ASHBY	750 ML	8.25	111392	PINNACLE IMPORTS	CS	12	
87224004045	y	ST HILAIRE BRUT ROSE	ST HILAIRE BRUT ROSE	JACK POUST & COMPANY INC	750 ML	16.5	111586	PINNACLE IMPORTS	CS	12	
87342400042	y	ENRIQUE FOSTER IQUE MALBEC 2014	ENRIQUE FOSTER IQUE MALBEC 2014	DREYFUS - ASHBY	750 ML	9.75	108990	PINNACLE IMPORTS	CS	12	
87396006960	y	RKS- GRANDE CASSAGNE ROSE 2016	RKS- GRANDE CASSAGNE ROSE 2016	DOMAINE SELECT WINE ESTATE	750 ML	10.5	126790	PINNACLE IMPORTS	CS	12	
87432400042	y	CLOS PISSARRA LA VINYETA 2008	CLOS PISSARRA LA VINYETA 2008	MIURA VINEYARDS	750 ML	107.5	122780	PINNACLE IMPORTS	CS	12	
87971600013	y	BOUSQUET PREMIUM MALBEC 2017	DOM BOUSQUET PREMIUM MALBEC 2017	WISD LLC	750 ML	10.5	120010	PINNACLE IMPORTS	CS	12	
87971600037	y	CLOS PISSARRA EL MONT PRIORAT 08	CLOS PISSARRA EL MONT (GRENACHE) PRIORAT 2008	MIURA VINEYARDS	750 ML	81	110680	PINNACLE IMPORTS	CS	12	
87971600037	y	BOUSQUET PREMIUM CAB 2017	DOM BOUSQUET PREMIUM CAB 2017	WISD LLC	750 ML	10.5	108960	PINNACLE IMPORTS	CS	12	
87971600044	y	BOUSQUET CHARD 2017	DOM BOUSQUET CHARD 2017	WISD LLC	750 ML	10.5	108970	PINNACLE IMPORTS	CS	12	
89036500102	y	BOUCHARD CORTON-CHARLEMAGNE 2014	BOUCHARD CORTON-CHARLEMAGNE 2014	HENRIOT INC.	750 ML	138	117131	PINNACLE IMPORTS	CS	12	
89476000049	y	REYNOLDS CHARD 2012	REYNOLDS CHARD 2012	REYNOLDS FAMILY	750 ML	28.5	122790	PINNACLE IMPORTS	CS	12	
89569131981	y	BOUCHAINE CHRDNY 2014	BOUCHAINE CHRDNY 2014	BOUCHAINE	750 ML	24.75	124440	PINNACLE IMPORTS	CS	12	
89569133923	y	BOUCHAINE BOUCHE DOR 2010	BOUCHAINE BOUCHE DOR 2010	BOUCHAINE	500 ML	21.75	124450	PINNACLE IMPORTS	CS	6	
89569229121	y	BOUCHAINE PINOT NOIR 2012	BOUCHAINE PINOT NOIR 2012	BOUCHAINE	750 ML	24.75	124420	PINNACLE IMPORTS	CS	12	
89569731976	y	BOUCHAINE PINOT MEUNIER 2014	BOUCHAINE PINOT MEUNIER 2014	BOUCHAINE	750 ML	27	124430	PINNACLE IMPORTS	CS	12	
89794100776	y	FELINO CAB SAUV 2016	FELINO CABERNET SAUVIGNON 2016	PAUL HOBBS IMPORTS	750 ML	17.25	109900	PINNACLE IMPORTS	CS	12	
89794100974	y	FELINO MALBEC 2015	FELINO MALBEC 2015	PAUL HOBBS IMPORTS	750 ML	17.25	109880	PINNACLE IMPORTS	CS	12	
89806012646	y	OZV & CHOC GIFT BOX CPWM  6750ML	OZV & CHOCOLATE GIFT BOX CPWM / 6/750ML	OAK RIDGE WINERY	750 ML	8.5	120911	PINNACLE IMPORTS	CS	6	
89819400208	y	BIRRIFICIO DUCATO VILLE AGED	BIRRIFICIO DUCATO VIEILLE VILLE AGED WITH BRETTANOMYCES	B. UNITED	24.5 OZ		124056	PINNACLE IMPORTS	CS	6	
